Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,adversarial,50,False,FGSM,0.15483870967741936,0.1032258064516129,155,0.12,0.08,
resnet,adversarial,50,False,LLC,0.06358381502890173,0.04046242774566474,173,0.055,0.035,
resnet,adversarial,50,False,PGD,0.10050251256281408,0.06532663316582915,199,0.1,0.065,
resnet,adversarial,50,False,RFGSM,0.06535947712418301,0.0915032679738562,153,0.05,0.07,
resnet,adversarial,50,False,STEP_LLC,0.15,0.05,100,0.075,0.025,
resnet,adversarial,50,False,UAP,0.12857142857142856,0.11428571428571428,70,0.045,0.04,
inception,raw,V3,True,BL-BFGS,0.005,0.115,200,0.005,0.115,
inception,raw,V3,True,CW2,0.005,0.12,200,0.005,0.12,
inception,raw,V3,True,DeepFool,0.005025125628140704,0.11557788944723618,199,0.005,0.115,
inception,raw,V3,True,FGSM,0.1717171717171717,0.1414141414141414,99,0.085,0.07,
inception,raw,V3,True,LLC,0.03488372093023256,0.023255813953488372,172,0.03,0.02,
inception,raw,V3,True,PGD,0.035,0.125,200,0.035,0.125,
inception,raw,V3,True,RFGSM,0.061224489795918366,0.17006802721088435,147,0.045,0.125,
inception,raw,V3,True,STEP_LLC,0.22727272727272727,0.09090909090909091,66,0.075,0.03,
inception,raw,V3,True,UAP,0.01020408163265306,0.05102040816326531,98,0.005,0.025,
vgg,raw,16,True,BL-BFGS,0.005,0.115,200,0.005,0.115,
vgg,raw,16,True,CW2,0.005,0.115,200,0.005,0.115,
vgg,raw,16,True,DeepFool,0.005291005291005291,0.15343915343915343,189,0.005,0.145,
vgg,raw,16,True,FGSM,0.17482517482517482,0.1258741258741259,143,0.125,0.09,
vgg,raw,16,True,LLC,0.04419889502762431,0.06629834254143646,181,0.04,0.06,
vgg,raw,16,True,PGD,0.07407407407407407,0.15432098765432098,162,0.06,0.125,
vgg,raw,16,True,RFGSM,0.059602649006622516,0.16556291390728478,151,0.045,0.125,
vgg,raw,16,True,STEP_LLC,0.20224719101123595,0.05056179775280899,178,0.18,0.045,
vgg,raw,16,True,UAP,0.0213903743315508,0.12299465240641712,187,0.02,0.115,
