Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,female2male_rate,male2female_rate,total,nr_female,nr_male,mis_ratio,female2male_rate_100,male2female_rate_100
resnet,adversarial,34,FALSE,FGSM,0.014925373,0.01369863,0.016393443,134,73,61,0.01,0.01,0.01
resnet,adversarial,34,FALSE,LLC,0.012048193,0.026315789,0,83,38,45,0.005,0.01,0
resnet,adversarial,34,FALSE,PGD,0.010050251,0.01,0.01010101,199,100,99,0.01,0.01,0.01
resnet,adversarial,34,FALSE,RFGSM,0.010050251,0.01010101,0.01,199,99,100,0.01,0.01,0.01
resnet,adversarial,34,FALSE,STEP_LLC,0.03125,0.031746032,0.03030303,96,63,33,0.015,0.02,0.01
resnet,adversarial,34,FALSE,UAP,0,0,0,117,61,56,0,0,0
resnet,adversarial,50,TRUE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,adversarial,50,TRUE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,adversarial,50,TRUE,DeepFool,0,0,0,161,81,80,0,0,0
resnet,adversarial,50,TRUE,FGSM,0.063829787,0.023255814,0.098039216,94,43,51,0.03,0.01,0.05
resnet,adversarial,50,TRUE,LLC,0.034482759,0,0.065217391,87,41,46,0.015,0,0.03
resnet,adversarial,50,TRUE,PGD,0.020100503,0.01,0.03030303,199,100,99,0.02,0.01,0.03
resnet,adversarial,50,TRUE,RFGSM,0.015789474,0.021052632,0.010526316,190,95,95,0.015,0.02,0.01
resnet,adversarial,50,TRUE,STEP_LLC,0.030769231,0.035714286,0.027027027,65,28,37,0.01,0.01,0.01
resnet,adversarial,50,TRUE,UAP,0.018181818,0,0.023809524,55,13,42,0.005,0,0.01
resnet,adversarial,50,FALSE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,adversarial,50,FALSE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,adversarial,50,FALSE,DeepFool,0,0,0,110,66,44,0,0,0
resnet,adversarial,50,FALSE,FGSM,0.02173913,0,0.025974026,92,15,77,0.01,0,0.02
resnet,adversarial,50,FALSE,LLC,0.009345794,0.025641026,0,107,39,68,0.005,0.01,0
resnet,adversarial,50,FALSE,PGD,0.011049724,0.012195122,0.01010101,181,82,99,0.01,0.01,0.01
resnet,adversarial,50,FALSE,RFGSM,0.04950495,0.08,0.039473684,101,25,76,0.025,0.02,0.03
resnet,adversarial,50,FALSE,STEP_LLC,0.022222222,0,0.026666667,90,15,75,0.01,0,0.02
resnet,adversarial,50,FALSE,UAP,0,0,0,111,66,45,0,0,0
